postulationDate,studyCenter,careerField,careerStatus,careerDegree,studiesNumber
2022-09-27,Coderhouse,Tecnologias De La Informacion,En Curso,Otro,7
2022-09-26,Universidad Cesar Vallejo,Ing. Industrial,En Curso,Universitario,1
2022-09-24,Udemy,Ing. Informatica,Graduado,Otro,11
2022-09-23,"Instituto ""Cimas""",Computacion / Informatica,Abandonado,Terciario/Tecnico,4
2022-09-23,Universidad Nacional Mayor De San Marcos,Ing. Electronica,Graduado,Universitario,1
2022-09-22,Cibertec,Ing. En Sistemas,Graduado,Otro,7
2022-09-22,Tecsup,Programacion,En Curso,Terciario/Tecnico,4
2023-04-08,Universidad De Ciencias Y Humanidades,Ing. En Sistemas,Graduado,Universitario,1
2022-12-05,Universidad Catolica Santa Maria,Ing. En Sistemas,Graduado,Universitario,1
2022-12-04,Centro De Capacitacion - Gruporppsac,Analisis De Sistemas,Graduado,Otro,28
2022-12-12,Otro,Analisis De Sistemas,Graduado,Posgrado,6
2023-02-12,Istp Modern Systems,Analisis De Sistemas,Graduado,Otro,1
2023-02-06,Universidad Nacional De Piura,Ing. Informatica,Graduado,Universitario,1
2023-02-05,Universidad Privada Del Norte,Ing. En Sistemas,En Curso,Universitario,2
2023-02-04,Cibertec,Analisis De Sistemas,Graduado,Terciario/Tecnico,1
2023-02-04,Unmsm,Ing. En Sistemas,En Curso,Posgrado,2
2023-02-02,Universidad Nacional San Luis Gonzaga - Ica,Ing. En Sistemas,Graduado,Universitario,1
2023-02-01,Instituto Cultural Peruano Norteamericano,Interprete,Abandonado,Terciario/Tecnico,2
2023-01-31,Universidad De Lima,Ing. En Sistemas,Graduado,Universitario,1
2023-01-30,Universidad Peruana De Ciencias Aplicadas,Ing. En Sistemas,En Curso,Universitario,3
2023-01-30,Udemy,Tecnologias De La Informacion,Graduado,Otro,8
2023-02-12,I.U. Politecnico Santiago Marino,Ing. En Sistemas,Abandonado,Universitario,1
2023-01-27,Universidad Privada Antenor Orrego - Trujillo,Ing. En Sistemas,Graduado,Universitario,1
2023-01-26,Universidad Nacional De Ingenieria,Ing. En Sistemas,En Curso,Universitario,1
2023-01-24,Instituto Cibertec,Computacion / Informatica,En Curso,Universitario,1
2023-01-20,Universidad Tecnologica Del Peru,Ing. En Sistemas,Graduado,Universitario,1
2023-01-19,Ponificia Universidad Catolica Del Peru,Tecnologias De La Informacion,Graduado,Universitario,1
2023-01-18,Universidad Alas Peruanas,Ing. En Sistemas,Graduado,Universitario,1
2023-01-18,Universidad Santo Domingo De Guzman,Fisioterapia,Graduado,Universitario,1
2023-01-17,Universidad De San Martin De Porres,Ing. En Sistemas,Graduado,Universitario,1
2023-01-17,Universidad Nacional Pedro Ruiz Gallo,Ing. En Sistemas,En Curso,Universitario,1
2023-01-16,Universidad Privada Del Norte,Ing. - Otros,Graduado,Universitario,1
2023-02-12,Universidad Nacional De Trujillo,Ing. Quimica,Graduado,Universitario,1
2023-01-15,Universidad Cesar Vallejo,Ing. En Sistemas,En Curso,Universitario,1
2023-01-15,Universidad Privada Antenor Orrego - Trujillo,Ing. En Sistemas,Graduado,Universitario,2
2023-01-14,Universidad Nacional Mayor De San Marcos,Ing. En Sistemas,Graduado,Posgrado,8
2023-01-14,Universidad Continental De Ciencias E Ingenieria,Psicologia,En Curso,Universitario,5
2023-01-13,Univeridad Privada Del Norte,Ing. En Sistemas,Graduado,Universitario,1
2023-01-13,Universidad Privada Telesup,Tecnologias De La Informacion,Graduado,Universitario,1
2023-01-13,Linkedin,Tecnologias De La Informacion,Graduado,Otro,11
2023-01-12,Instituto Cibertec,Diseno Grafico,En Curso,Terciario/Tecnico,4
2023-01-12,Instituto Cibertec,Tecnologias De La Informacion,En Curso,Otro,1
2023-01-12,Google,Tecnologias De La Informacion,En Curso,Posgrado,11
2023-02-10,Universidad Ricardo Palma,Ing. En Sistemas,Graduado,Universitario,1
2023-01-12,Universidad Nacional San Luis Gonzaga De Ica,Ing. En Sistemas,Graduado,Universitario,1
2023-01-12,Enterprice Group,Tecnologias De La Informacion,Graduado,Otro,7
2023-01-12,Pmcertifica,Ing. - Otros,Graduado,Posgrado,4
2023-01-12,Istqb,Tecnologias De La Informacion,Graduado,Otro,6
2023-01-11,Universidad Nacional De San Martin,Ing. En Sistemas,Graduado,Universitario,1
2023-01-11,Scrum.Org,Computacion / Informatica,Graduado,Posgrado,10
2023-01-11,Utp,Ing. En Sistemas,En Curso,Universitario,3
2023-01-11,Universidad Cesar Vallejo,Ing. En Sistemas,Graduado,Universitario,1
2023-01-11,Instituto Superior Sise,Computacion / Informatica,En Curso,Terciario/Tecnico,1
2022-12-30,Pmcertifica,Ing. - Otros,Graduado,Posgrado,4
2023-02-09,Universidad Femenina Del Sagrado Corazon,Ing. En Sistemas,Graduado,Universitario,1
2022-12-30,Enterprice Group,Tecnologias De La Informacion,Graduado,Otro,7
2022-12-30,Universidad Tecnologica Del Peru,Ing. En Sistemas,Graduado,Universitario,1
2022-12-28,Utp,Analisis De Sistemas,Graduado,Universitario,1
2022-12-28,Universidad Nacional San Luis Gonzaga De Ica,Ing. En Sistemas,Graduado,Universitario,1
2022-12-27,Istqb,Tecnologias De La Informacion,Graduado,Otro,6
2022-12-27,Universidad Alas Peruanas,Ing. En Sistemas,Graduado,Universitario,1
2022-12-27,Upc,Ing. En Sistemas,En Curso,Universitario,2
2022-12-27,Universidad Nacional Pedro Ruiz Gallo,Ing. En Sistemas,En Curso,Universitario,1
2023-02-08,Pontificia Universidad Catolica Del Peru,Tecnologias De La Informacion,Graduado,Universitario,3
2022-12-26,Universidad Continental De Ciencias E Ingenieria,Psicologia,En Curso,Universitario,5
2022-12-26,Universidad Peruana De Ciencias Aplicadas,Ing. En Sistemas,Graduado,Universitario,1
2022-12-26,Universidad Privada Del Norte,Tecnologias De La Informacion,Graduado,Universitario,1
2022-12-26,Universidad Privada Del Norte,Ing. En Sistemas,En Curso,Universitario,2
2022-12-26,Univeridad Privada Del Norte,Ing. En Sistemas,Graduado,Universitario,1
